index,brand,id,name,price,size,capacity,processor,storage_type
272,MICROSOFT,10234253,"MICROSOFT 14.4"" Surface Laptop Studio - Intel® Core™ i5, 512 GB SSD, Platinum",1649,14.4,512,Intel® Core™ i5,SSD
273,ACER,10224418,"ACER Aspire 3 15.6"" Laptop - Intel® Core™ i7, 512 GB SSD, Silver",659,15.6,512,Intel® Core™ i7,SSD
274,LENOVO,10229554,"LENOVO IdeaPad 3i 15.6"" Chromebook - Intel® Pentium®, 128 GB eMMC, Grey",329,15.6,128,Intel® Pentium®,eMMC
275,SAMSUNG,10224690,"SAMSUNG Galaxy Book LTE 15.6"" Laptop - Intel® Core™ i5, 256 GB SSD, Mystic Silver",799,15.6,256,Intel® Core™ i5,SSD
276,HP,10235996,"HP Stream 11-ak0515sa 11"" Laptop - Intel® Celeron™, 64 GB eMMC, White",219,11,64,Intel® Celeron™,eMMC
277,SAMSUNG,10236039,"SAMSUNG Galaxy Book2 Pro 360 13.3"" 2 in 1 Laptop - Intel® Core™ i5, 256 GB SSD, Silver",949,13.3,256,Intel® Core™ i5,SSD
278,SAMSUNG,10236044,"SAMSUNG Galaxy Book2 Pro 15.6"" Laptop - Intel® Core™ i5, 256 GB SSD, Dark Grey",1139,15.6,256,Intel® Core™ i5,SSD
279,AVITA,10215493,"AVITA Liber V 14"" Laptop - AMD Ryzen 5, 256 GB SSD, Black",549,14,256,AMD Ryzen 5,SSD
280,SAMSUNG,10237008,"SAMSUNG Galaxy Book2 Pro 15.6"" Laptop - Intel® Core™ i5, 256 GB SSD, Silver",949,15.6,256,Intel® Core™ i5,SSD
281,SAMSUNG,10236046,"SAMSUNG Galaxy Book2 Pro 360 13.3"" 2 in 1 Laptop - Intel® Core™ i7, 256 GB SSD, Silver",1049,13.3,256,Intel® Core™ i7,SSD
282,SAMSUNG,10236008,"SAMSUNG Galaxy Book2 Pro 13.3"" Laptop - Intel® Core™ i5, 256 GB SSD, Silver",849,13.3,256,Intel® Core™ i5,SSD
283,AVITA,10215491,"AVITA Admiror 14"" Laptop - AMD Ryzen 7, 512 GB SSD, Copper",569,14,512,AMD Ryzen 7,SSD
284,DYNABOOK,10235541,"DYNABOOK Toshiba Satellite Pro C40 14"" Laptop - Intel® Core™ i5, 256 GB SSD, Dark Blue",599,14,256,Intel® Core™ i5,SSD
285,AVITA,10220623,"AVITA Pura 14"" Laptop - AMD Ryzen 5, 256 GB SSD, Rose Gold",489,14,256,AMD Ryzen 5,SSD
